Location Name,Amount Spent (USD)
Alabama,790909
Alaska,197662
American Samoa,254
Arizona,2256767
Arkansas,468655
California,7319134
Colorado,1530241
Connecticut,522457
Delaware,164766
Florida,4982356
Georgia,1989775
Guam,1216
Hawaii,194500
Idaho,327967
Illinois,3999576
Indiana,949678
Iowa,672267
Kansas,468460
Kentucky,756365
Louisiana,599913
Maine,528666
Maryland,1132312
Massachusetts,1356854
Michigan,3130148
Minnesota,1030410
Mississippi,474491
Missouri,1218953
Montana,210221
Nebraska,285042
Nevada,523690
New Hampshire,261611
New Jersey,1370183
New Mexico,373131
New York,4353888
North Carolina,2302401
North Dakota,118833
Northern Mariana Islands,119
Ohio,2420985
Oklahoma,708484
Oregon,814776
Pennsylvania,2940020
Puerto Rico,15291
Rhode Island,177948
South Carolina,726455
South Dakota,120540
Tennessee,1101891
Texas,4966100
Unknown,601
Utah,492055
Vermont,140181
Virgin Islands (U.S.),390
Virginia,1769973
Washington,1626250
"Washington, District of Columbia",270965
West Virginia,328169
Wisconsin,2478005
Wyoming,93103
