Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,≤100
103143444511776,U by Kotex Pacific Islands,These ads ran without a disclaimer,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
737067693087816,American Samoa Alliance Against Domestic & Sexual Violence,American Samoa Alliance against Domestic & Sexual Violence,161
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
122766527832439,Waterlust,These ads ran without a disclaimer,≤100
106658274208314,Inrainqho,These ads ran without a disclaimer,≤100
107345144221720,Mira,These ads ran without a disclaimer,≤100
103541157862639,CCTV香港,These ads ran without a disclaimer,≤100
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100
141786816970,Cruise Lines International Association - CLIA,These ads ran without a disclaimer,≤100
113932703397653,Ultimate Goodsvibe,These ads ran without a disclaimer,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
111371487129223,Breaking Story,These ads ran without a disclaimer,≤100
1990880717882519,The China Current,These ads ran without a disclaimer,≤100
590875894316015,"Trump International Hotel Washington, D.C.",These ads ran without a disclaimer,≤100
87564186290,Antics,These ads ran without a disclaimer,≤100
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,≤100
165578776831764,Twice The Speed,These ads ran without a disclaimer,≤100
105510461002357,Souljah Bless,These ads ran without a disclaimer,≤100
104706674309306,Iron Mike Boxing Association,These ads ran without a disclaimer,≤100
130369030334301,KidsRights,These ads ran without a disclaimer,≤100
114757093410967,1st Priority Medical,These ads ran without a disclaimer,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
29883711738,Independent Women's Voice,Independent Women's Voice,≤100
234021273710642,The Kodel Party,These ads ran without a disclaimer,≤100
386976188592544,Iris.warm,These ads ran without a disclaimer,≤100
24691304989,Comedy Central UK,These ads ran without a disclaimer,≤100
101396494839537,The World's Information,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,≤100
527358433996753,Voodoo,These ads ran without a disclaimer,≤100
2207991836092014,Sabinetek Audio,These ads ran without a disclaimer,≤100
109905900573403,BuzzVote2020,Bruce Edward Spector,≤100
194698570616499,Marine Dynamics,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
