Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
240509379437127,Shawn Dooley State Representative,Shawn Dooley Election Committee,≤100
589476101534866,American Progressives,Alan Mislove,≤100
1788937671403838,Americans For Better Infrastructure,Americans for Better Infrastructure,336
102757964504021,Greta Thunberg Fan Club,These ads ran without a disclaimer,≤100
103974389650244,Amenders for Federal Spending Control,Mark Albert Meier,≤100
2098490166866180,Always Wander,These ads ran without a disclaimer,≤100
741560249194129,Konsume,Lance Morgan Rinker,≤100
399110770152368,INation Media,These ads ran without a disclaimer,≤100
936147539773859,Great Barrier Reef Foundation,These ads ran without a disclaimer,≤100
376250065793807,Citizens for Responsible Energy Solutions,Citizens for Responsible Energy Solutions,1142
105797244391125,سعيد عبدالحافظ,These ads ran without a disclaimer,≤100
125319303823,Champlain College,Champlain College Incorporated,≤100
1765222000389393,Jill Karofsky for Justice,Jill for Justice,≤100
2037695643113766,Blexit,Blexit Foundation,≤100
871666829848288,Clint Dixon for Senate,Clint Dixon for Senate,≤100
163965296965203,32BJ SEIU,LOCAL 32 BJ SEIU,≤100
1583450778540915,Black Rose / Rosa Negra - Anarchist Federation,These ads ran without a disclaimer,≤100
103909517699074,Antoanela Nutrition Network Advisor - LCHF Keto Diet Lifestyle Healing,These ads ran without a disclaimer,≤100
527955724270379,Jeremy and Karen Reynolds,These ads ran without a disclaimer,≤100
2116141045107743,Mike Garcia for Congress,Mike Garcia for Congress,3494
101143617942555,Rhodes Bailey for SC House 75,Rhodes Bailey for SC House,≤100
2352630938293825,Mytacticalpromos,Entremax,5907
100671838129752,CCW Qualified,Kyle Francis Sekerak,192
263192400997017,ment nelson,These ads ran without a disclaimer,≤100
108953413953229,Adam for Idaho,Adam Joshua Frugoli,≤100
175723919259349,Mayor Scott Singer,Scott Singer for Mayor,≤100
337490192991981,Grabien,Grabien Inc,≤100
1955953381348064,State Representative Trent Ashby,Texans for Trent Ashby,≤100
1600300510259910,For Our Future Pennsylvania,FOR OUR FUTURE,≤100
107450787569446,The Lake Shoes Project,These ads ran without a disclaimer,≤100
54310679625,Alliance for Justice,ALLIANCE FOR JUSTICE,≤100
102037361257173,Daniel J. Weckesser for Knox County Sheriff,The Committee to Elect Daniel J. Weckesser for Knox County Sheriff,≤100
121721071090,Friends Committee on National Legislation - FCNL,These ads ran without a disclaimer,174
108604495854322,California Transit Association,California Transit Association,129
15919859625,Andrew Lachman,Andrew Lachman for DNC,≤100
95356211637,Ben Ferguson,Ben Ferguson show,2146
473191156175163,EDF Action,Environmental Defense Action Fund,≤100
100859391553551,Awesome Shirts.,These ads ran without a disclaimer,≤100
130824026321,Mott Community College,These ads ran without a disclaimer,≤100
236312179825896,Republican Main Street Partnership,REPUBLICAN MAIN STREET PARTNERSHIP INC,≤100
96826022393,Yale Environment 360,Yale Environment 360,≤100
161571717333879,Sharon Quataert Realty,These ads ran without a disclaimer,≤100
323057528048557,LGBTQ Victory Institute,LGBTQ Victory Institute,179
273467783533952,"Amourence Lee, San Mateo City Councilwoman",Amourence M Lee,111
77903485992,Concerned Women For America LAC,CONCERNED WOMAN FOR AMERICA LEGISLATIVE ACTION COMMITTEE,≤100
415306179228629,"Mike Carroll - Vice Mayor, City of Irvine","Mike Carroll - Vice Mayor, City of Irvine",1639
