Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
1648791868734389,HCV Chatter,These ads ran without a disclaimer,107
1387062348242626,ProgressNow Arizona,ProgressNow AZ,≤100
406121639993515,Unknown Graphix,These ads ran without a disclaimer,≤100
513300129201253,Kenny Robinson for Ft. Pierce City Commission District 1,Kenny Robinson Campaign,≤100
83865976093,Truthout,These ads ran without a disclaimer,≤100
49978948774,Newsy,Newsy,478
137932966292045,Holly Rehder,Friends of Holly Rehder,≤100
105732744375701,Steve Bullock,Montanans for Bullock,7209
109295377337702,Trumplican Store,Minerva LLC,542
104353054425180,Battle For The White House 2020 Chess Set,2020 Battle For The White House,≤100
1666863483547553,Gary Dolgin for Judge,"Committee to Elect Gary Dolgin for Hillsborough County Circuit Court Judge, Group 30",≤100
173896102623920,Old Row,These ads ran without a disclaimer,≤100
1905695562841696,The Trump Guide To Spirituality,These ads ran without a disclaimer,≤100
100223951443342,"North Fort Myers, Florida Local",These ads ran without a disclaimer,≤100
108977060511363,Vote Joan For Gulf County Commissioner District 3,Joan Nancy Lovelace,≤100
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,4055
174046949421616,Phenomenal Woman Action Campaign,Phenomenal Woman Action Campaign,≤100
136121223083299,Sea Turtle Conservancy,"SEA TURTLE CONSERVANCY, INC.",276
175672252499829,Trending Views,Trending Views,≤100
273546779885377,The Gallant Pelham,"The Gallant Pelham, LLC",≤100
84258068778,FIRM Action,Center for Community Change Action,1326
114975389535,TAN Books,"SAINT BENEDICT PRESS, LLC",180
461530314600399,Common Sense American Politics,Common Sense American Politics,≤100
100365234944751,"Mike Petscher For Collier County Commissioner, District 5.",Michael Anthony Petscher,≤100
259924897430716,VoteRiders,VoteRiders,≤100
43287633515,Alliance for Climate Education,Alliance for Climate Education,8079
107592419594,Immigration Equality,IMMIGRATION EQUALITY INCORPORATED,≤100
209038435961062,Stand with Judge Roy Moore,JUDGE ROY MOORE FOR US SENATE,≤100
1771343549836536,Bowen Greenwood for Montana Secretary of State,Greenwood for Montana,≤100
263192400997017,ment nelson,These ads ran without a disclaimer,≤100
192796262261,Go Solar Power,Thomas Richard Lanzarotta,≤100
107283887559768,TheDisrupted,These ads ran without a disclaimer,≤100
350523542184,Trust Women,Trust Women,≤100
108712023993055,Henderson for Monona,These ads ran without a disclaimer,≤100
1824503584434809,I Vaccinate,Michigan Department of Health and Human Services,≤100
104832861120256,Bernies Budget,Dennis K Byrd,≤100
462982410828092,Samaroo Law,These ads ran without a disclaimer,≤100
341715643214947,The Last House Standing,Joseph George Siegal,≤100
221247592128977,Smartlifemall.long/fivv,These ads ran without a disclaimer,≤100
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,27088
1210101199161467,Real Maine Facts,Samuel I Katz,≤100
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",5959
117507751891,United Poultry Concerns,"UNITED POULTRY CONCERNS, INC",≤100
109784093976549,Military Earplug Settlements,One Dollar Smarter,≤100
138253403016998,Shootingtargets7,These ads ran without a disclaimer,≤100
1916108188466958,Elad Gross For Missouri,Elad Gross For Missouri,≤100
110035463860647,Trump Signs,Bankov Enterprises LLC,≤100
571410443024894,Nutmegger Daily,Gene G Glotzer,≤100
106286944285178,Vote Your State,CATHERINE NAOMI COYLE-LEVY,≤100
112614656925530,Perry for Kentucky,Robert Lee Perry,≤100
231679387276536,South Cook News,Local Government Information Services,≤100
102757921316210,Christy Joy for the 125th,Friends of Christy Joy,≤100
327685621388062,nuun.usa,These ads ran without a disclaimer,≤100
102032647945036,Sam Bedwell for City Council District 9,Bedwell for City Council 2020,≤100
301754953437,Brian Tome,These ads ran without a disclaimer,≤100
109793293898659,Love In The Time Of Trump,John Severin,≤100
175886182423571,Brandon Ferdig on The Periphery,The Periphery Media,≤100
325771844133731,Mike Gipson,Gipson for Assembly 2020,≤100
1435148843426547,SEIU Florida,Florida State Council Political Committee,2905
447484109420511,Taylorfor2021,Joycelyn M Taylor,≤100
103260531316562,Noisehound,Jacin Espinet Suskin,≤100
125649561365522,J.D. Scholten,SCHOLTEN4IOWA CAMPAIGN COMMITTEE,≤100
1447994318779650,AirMedCare Network,AIrMedCare Network,1137
123739781030200,Canan Law Attorneys,Canan Law Attorneys,≤100
108828003982897,Tampa Craftivist Collective,These ads ran without a disclaimer,≤100
345649856136263,Matt Mahan,Neighbors for Matt Mahan for San Jose City Council District 10 in 2020,≤100
617037072140415,420 Waldos Watch,Time Concepts,≤100
297108030389933,NOVL,These ads ran without a disclaimer,≤100
104315487766644,Spencer Anderson for Beloit School Board,Spencer Douglas Anderson,≤100
92115252205,Armory Center for the Arts,ARMORY CENTER FOR THE ARTS,≤100
111350917102742,Medicture,Medicture,370
602196353633485,Crusade.Live,"Crusade, Inc.",≤100
184404096774,Lupus Foundation of America,"Lupus Foundation of America, Inc.",118
111193703661233,"Mallworld, Incorporated",Jeffery Ronald Zavadil,≤100
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,33098
110309607045916,Lisa Scheller,"Scheller for Congress, Inc.",≤100
189036631118228,COMMONworks,COMMON,105
112682546792104,Jorge Becker for State Representative,Jorge Becker for State Representative,≤100
76523801829,the Christian Century,CHRISTIAN CENTURY,≤100
103260781250999,Remus For Arizona,Steven Robert Remus,≤100
118056519579784,Elaine W. Bryant for City Commission,"Campaign Account for Elaine W. Bryant, LLC",300
571748412859876,Matt Rosendale,Matt Rosendale for Montana,≤100
350195358797523,David Sislowski,David Sislowski,≤100
129565903736019,John 3:16 Mission,These ads ran without a disclaimer,≤100
1184615968318810,Emma Ramirez for San Dimas,Emma for San Dimas City Council,≤100
543066585882629,Libertarian Country,Libertarian Country,344
127091793967609,McMaster University School of Labour Studies,These ads ran without a disclaimer,≤100
7100914121,American Experience | PBS,WGBH EDUCATIONAL FOUNDATION,≤100
299588323424419,Legal Newsline,The Record,≤100
111140527158333,Lotta contro la xenofobia,These ads ran without a disclaimer,≤100
1816083521852578,shirSLAY,These ads ran without a disclaimer,≤100
1640970822834351,Plaine Products,Plaine Products,≤100
75305414159,National Beer Wholesalers Association,National Beer Wholesalers Association,≤100
107352137347376,Re-Elect Shirley Johnson,Shirley Johnson For Delray Beach City Commission,350
101194867964748,Big Thicket Coin,These ads ran without a disclaimer,≤100
287939431886940,Mo Nehad For People,M. Nehad Campaign,≤100
1612726335627171,We the Internet TV,We the Internet TV,150
352134661647885,Clover Lane Blog,These ads ran without a disclaimer,≤100
54580146753,Faith in Action,These ads ran without a disclaimer,≤100
217329835061159,北美新浪,These ads ran without a disclaimer,≤100
389661238515891,Craig Curry For County Commission,Craig Curry for County Commission,≤100
102957957964408,Don't Tax Our Tech,Don't Tax Our Tech,1341
111260233713897,Pritap,These ads ran without a disclaimer,≤100
113460456730293,Ben Salango,Ben Salango for West Virginia,≤100
1844852792399909,Soroptimist Hats & Heels,Soroptimist International North San Diego,≤100
491349724370791,Jack Patrick Lewis,Jack P Lewis,≤100
1492972110998576,Aftab Pureval,Friends of Aftab Pureval,≤100
1985325944862707,Jineea Butler,JINEEA FOR CONGRESS,≤100
121624801200841,"Professional Firefighters/Paramedics of Palm Beach County, Local 2928 IAFF","Professional Firefighters / Paramedics of Palm Beach Beach County, Local 2928",800
28126338304,Surfrider Foundation,"SURFRIDER FOUNDATION, INC",≤100
126037931371545,Law Offices of Jonathan K. Park & Associates,Law Offices of Jonathan K. Park & Associates,≤100
233471427012717,Chris Hanks for Sarasota County Commission,Christopher B Hanks,110
110130647164439,Tonight's News,Ibrahim Oloko,3909
2272940826093045,Hodgson & Sons,These ads ran without a disclaimer,≤100
170187609795,Pinellas County Government,Pinellas County,129
101410004819401,Carbon Air,These ads ran without a disclaimer,≤100
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",2618
2249932728663365,Jason Shoaf for Florida House District 7,"Jason Shoaf, Republican, for State Representative",122
265121981068221,Civic 365,Muneer None Uddin,≤100
122253087790303,Re-Elect Constable Adan Ballesteros,Adan Ballesteros Campaign,≤100
183723014981998,MyLife.com,These ads ran without a disclaimer,≤100
1072713899596162,Politics In 3D,Politics In 3D,≤100
53214848444,Wisconsin Family Action,WISCONSIN FAMILY ACTION,≤100
376638603087168,Save The Earth,Michael Todd Powell,≤100
414882008521910,Maura Ryan-Ciardiello State Committeewoman,Red Massachusetts Grassroots Action,≤100
103170213059609,Vote Zalak,Adam Thomas Caldwell,602
450143342157687,Leanne Magson,These ads ran without a disclaimer,≤100
93534862768,Georgia Conservation Voters,Georgia Conservation Voters,≤100
105936053461,1776 Coalition,"ALLIANCE STRATEGIES GROUP, INC.",124
105199626748,Massachusetts Republican Party,Massachusetts Republican Party,≤100
2114015665342593,DO YOU HAVE A GREEN CARD?,Cheng Hsiang Chou,≤100
101446051467697,People's Revolution,People's Revolution,≤100
