Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
981661448510937,Meraki Journey,Meraki Bracelets,≤100
6485101073,Tides,Tides Foundation,≤100
1641424489504877,Justice for Jerrod W. Tyre,These ads ran without a disclaimer,≤100
295708201330055,SMDN,These ads ran without a disclaimer,≤100
104311357866755,Michael of Nebadon,Strongate LLC,≤100
112970223568925,"Healthy Teeth, Happy Teeth",Ky'ana Counts,≤100
1982999358632206,Hannelii,These ads ran without a disclaimer,≤100
101297867923420,Jeff Foster for Superior Court Judge,Jeff Foster for Superior Court Judge,390
358321582738,Broward Teachers Union,Broward School Watch,≤100
1209844532374898,Comrade Guillotine,These ads ran without a disclaimer,≤100
175403889150682,FindLaw.com,FindLaw Consumer,167
227813534020769,Monica Garcia,Monica Garcia for City Council 2020,≤100
342623112567750,The Shoe That Grows,Because International Corp,≤100
20006038080,David Chiu,DAVID CHIU FOR ASSEMBLY 2020 FPPC #1414326,≤100
161718535966,Chapman University,Chapman University,≤100
169440273093442,The Center for Election Science,The Center for Election Science,202
133937690180,Student Conservation Association,Student Conservation Association,≤100
123323833895,"Chris Johnson, writer & humorist",Kudzu Kid Press,≤100
355799336705,Outreach International,Outreach International,≤100
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",7499
104921901122708,LGBTQ Pride,These ads ran without a disclaimer,≤100
284472231667570,Lincoln and Obama,Benjamin E Griessman,≤100
104435694514313,Military Benefits USA,These ads ran without a disclaimer,≤100
106985940947568,Coronavirus Shelter-In-Place Action,Tabytha Kathryn Arthur,456
684473794899189,"Sanders Phillips Grossman, LLC",Legal Action Media,≤100
105793840927838,Amigos Por Marcos A. Gonzales,Amigos Por Marcos A. Gonzales,≤100
106272007486127,Karen DeSanto Kellogg,Committee to Elect Karen DeSanto Kellogg Judge,≤100
190987118163092,Connected Clothing Company,Connected Clothing Company,≤100
2058612901075444,Melanie Leneghan for Republican State Central Committee,Leneghan for Central Committee,≤100
394707496275,Threads 4 Thought,Threads 4 Thought,121
104673551044684,Republicans 2020,Rep Republican,≤100
102010211314386,Donald Trump 2020 Voters,I Love My Freedom,≤100
123500462249,Oregon Food Bank,"OREGON FOOD BANK, INC.",≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,458
473227436105637,American Jewish Congress,American Jewish Congress,≤100
110948720307431,Americans for a Prosperous Future,WINDWARD FUND,≤100
105246137551789,Nicholas Trevillian,These ads ran without a disclaimer,≤100
109001450692123,Entertainment Journal,Brooke Armani Corley,≤100
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",2899
108209810736254,Dave for Dacula,David James Slotter,≤100
140438538925,Penguin Press,These ads ran without a disclaimer,≤100
108971449133,Fisher House Foundation,"FISHER HOUSE FOUNDATION, INC.",≤100
1572918566306585,The Foreign Desk,These ads ran without a disclaimer,≤100
7145381235,American Jewish World Service - AJWS,These ads ran without a disclaimer,≤100
28510612138,Uncommon Knowledge,Hoover Institution,159
143073625758172,Utica Education Association,Utica Education Association,≤100
2181403648815959,America United,America United Daily,≤100
1088950287806118,Climate Hustle 2,CFACT,≤100
1865104160449485,Statecraft Digital,Statecraft Digital,≤100
132519055631,Farm Animal Rights Movement (FARM),FARM ANIMAL REFORM MOVEMENT INC,≤100
39851621214,Student Press Law Center,STUDENT PRESS LAW CENTER INC,≤100
757796280970472,Supervisor John Leopold,Friends of John Leopold,≤100
256950410162,Stewart Home & School,These ads ran without a disclaimer,≤100
160630887998827,Let Them Live,Let Them Live,149
758857317850758,Urban Farm Academy,Brandon Edward Youst,≤100
101663248703,GFWC,These ads ran without a disclaimer,≤100
100229101590476,Bayareagop.com,BayAreaGOP.com,≤100
191210710930194,Susan Talamantes Eggman for State Senate,Susan Eggman for State Senate,≤100
208448029308099,Neal F. Thompson,Neal Francis Thompson,≤100
102957524548390,YES on L for Santa Ana College and Santiago Canyon College,"Campaign for Our Colleges – Yes on Measure L, FPPC# 1423251, committee major funding from Santa Ana College Foundation, Santiago Canyon College Foundation",≤100
107036421410,National Safety Council,NATIONAL SAFETY COUNCIL,160
109295990419284,Esther For Congress,ESTHER FOR CONGRESS,≤100
183424985463330,Joe Cunningham,JOE CUNNINGHAM FOR CONGRESS,≤100
70090474914,American Farmland Trust,"AMERICAN FARMLAND TRUST, INC",≤100
110300057228517,David Torres for Congress,Phillip None Fisher,≤100
102171334564227,Mike for Scottsdale,Auerbach For Scottsdale,≤100
1651938015128584,Georgians for Lawsuit Reform,Georgians for Lawsuit Reform,16783
286290521529387,Gary S. Miliefsky,These ads ran without a disclaimer,≤100
121612301190207,Brandon Beach,Beach for Senate,2333
362232354250108,Becky Evans for Georgia House,"Friends of Becky Evans, Inc",≤100
694340911004154,Americans for Intelligence Reform,Americans for Intelligence Reform,≤100
212063912162782,Mark Eaton - 7ft4.com,These ads ran without a disclaimer,≤100
2096116803831566,Live Poll for Democrats: 11:59 P.M. Deadline,Democratic Governors Association,181
100809994773420,Trump 2020 Swag,Trump Swag USA,105
40523327759,American College of Physicians (ACP),"AMERICAN COLLEGE OF PHYSICIANS, INC.",≤100
493747700758477,Airbnb Citizen,"AIRBNB, INC.",677
122474432483075,Kelly McCloskey,These ads ran without a disclaimer,≤100
1390816891028615,OZY Fest,OZY Media Inc,≤100
142914269087072,Cornell Lab of Ornithology,Cornell Lab of Ornithology,≤100
433919203362871,Bird + Stone,BIRD & STONE INC,≤100
102285387997920,Freedom First Co,Freedom First Co,≤100
109628507318195,Our Democracy USA,Brian H Hendricks,≤100
785996468249945,Bite Toothpaste Bits,These ads ran without a disclaimer,≤100
111499786969475,Vohallo,These ads ran without a disclaimer,≤100
122345792491083,The Supreme Courts,William David Corriher,≤100
142474049098533,Robert Reich,Penguin Random House LLC,284
331037760381749,Sierra Magazine,SIERRA CLUB,≤100
106970107593695,Saline County Citizens for Jail Reform,These ads ran without a disclaimer,≤100
327202261326682,Stephanie Bice,Bice for Congress,548
112013800363266,Kevin Johnson for Gilmer Magistrate Judge,Britani Johnson,≤100
102311291365182,3M Claim Hub,US Injury Quote,≤100
1950319871930431,Special Gift,These ads ran without a disclaimer,700
233431773370174,Chris Paddie For Texas,Texans for Chris Paddie,≤100
1573989029398622,Donald Trump's Americans,I Love My Freedom,≤100
1139780232780908,Frugal Family,These ads ran without a disclaimer,≤100
2171158826509354,Earth & Friends,These ads ran without a disclaimer,≤100
17203056985,Partners In Health,Partners In Health,658
1099089066943112,MAGA Louisiana,MAGA Louisiana,≤100
1629848880646057,Frontera Tech Law,These ads ran without a disclaimer,≤100
101675144792542,Earth & Clover,David Kenneth Freitag,≤100
102229388022195,"Ted and Linda Riddle Authors, No Lookin’ Back",These ads ran without a disclaimer,≤100
107321130715958,"Ben Marcus for State Representative, District 16",Ben Marcus for State Representative,≤100
280632008752608,Peter Schweyer,Friends of Peter Schweyer,≤100
100922331367685,Yes on Napa Measure K,"Protect Napa County Water, Parks and Open Space, Yes on Measure K, FPPC# 1421481",≤100
93076864978,Yale Insights,These ads ran without a disclaimer,≤100
138491949497547,Rachel Levine Photography,These ads ran without a disclaimer,≤100
1800502240239217,Flagler County & Palm Coast Better Government Leadership,Better Government Leadership Fund,≤100
363741920768563,RTBiQ Political,RTBiQ Political,≤100
76025018070,San Francisco-Marin Food Bank,San Francisco-Marin Food Bank,≤100
181108491933672,InTime,These ads ran without a disclaimer,≤100
104600487737895,Facelots,These ads ran without a disclaimer,≤100
577296739109442,Ends & Stems,These ads ran without a disclaimer,≤100
222834814437802,Self-Help Center,"SELF HELP CENTER, INC",≤100
2035688363419679,Changing the Narrative CO,Changing the Narrative in Colorado,≤100
602196836790510,Patdukes,These ads ran without a disclaimer,≤100
43287633515,Alliance for Climate Education,Alliance for Climate Education,2234
39841702391,United States Conference of Mayors,UNITED STATES CONFERENCE OF MAYORS,178
385687021851357,Small Town Podcast,Small Town Podcast,≤100
67553971312,The Century Foundation,"CENTURY FOUNDATION INC, THE",≤100
547992872038188,And Another Thing with Darci and Kelly,Darci Christine Smith Monet,≤100
349203558988030,"Live WE, Not ME",Brian Russell Dixon,≤100
1006110349586564,Congressman TJ Cox,Office of Congressman TJ Cox,≤100
105287044367027,ObsessedwithTrump,Donald Lee Rowan,≤100
357021351674162,Cause Bracelet,Cause Bracelet,≤100
1837115116571746,Topic,"First Look Productions, Inc",≤100
776264359372720,ConservativeModern.com,ConservativeModern.com,≤100
1401906203153027,Myles Heger,Red Massachusetts Grassroots Action,≤100
25105596293,Gina Chavez,These ads ran without a disclaimer,≤100
93320754987,Sarah's Silks,These ads ran without a disclaimer,171
132605936818682,Grainger,These ads ran without a disclaimer,≤100
1917715138510680,Follow Your Legend,Legend Bracelet,105
1529468987331408,BulbHead,TELEBRANDS CORP.,260
107824227479023,Wisconsin Organizing Together 2020,"A Better Wisconsin Together, Inc.",≤100
2325437444408451,Millennials for Warren,Brittany Allene Eames,≤100
108946154013226,John A. Clark Democat for 337th Criminal Court Judge Harris County,Erica Nicole Everson,≤100
312034739463594,Kina Collins,KINA FOR CONGRESS,≤100
324388020982326,Fulfill,Fulfill Monmouth & Ocean,≤100
1399736660066130,Jews for a Secular Democracy,Society for Humanistic Judaism,≤100
113351505349955,The Christian Broadcasting Network,The Christian Broadcasting Network Inc,≤100
2452905398272083,Froy Jimenez for Illinois Senate - 1st District,Froy Jimenez for Senate,≤100
655065784538368,PredictIt,"PredictIt - Prediction Markets. A project of Victoria University of Wellington, PredictIt has been established to facilitate research into the way markets forecast events.",480
6355254859,Michael McCaul,Congressman Michael McCaul,≤100
106710007580594,Ben Edwards for Bulloch County Solicitor-General,Ben Edwards for Bulloch County Solicitor-General,≤100
133979276345,Georgia Farm Bureau,"GEORGIA FARM BUREAU FEDERATION, INC.",≤100
567209840427883,Chad Brown for Secretary of State,Chad Brown for Secretary of State,≤100
331258034117440,Patrick Labat for Fulton County Sheriff,Labat for Sheriff,142
467503009987109,"Healthy Forests, Healthy Communities","Healthy Forests, Healthy Communities",≤100
110944170515015,Pro Life Baby Bracelet,These ads ran without a disclaimer,≤100
1375642036024778,Alabama State Nurses Association,ALABAMA STATE NURSES ASSOCIATION,≤100
116853658346802,Evangelical Environmental Network,Evangelical Environmental Network,≤100
709046012792616,National Audubon Society Action Fund,National Audubon Society Action Fund,526
104531197835888,Jman Designs,Joshua E Spisak,≤100
172748929866585,Prophetic Resistance Project,These ads ran without a disclaimer,≤100
275682956273339,Nick Seymour,These ads ran without a disclaimer,≤100
111098087162502,Pete is Going to Win in 2024,These ads ran without a disclaimer,≤100
104679177804089,45 Changes Lives,PKA Karate Academy Inc,≤100
