Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
751378318588766,Prevent UnWanted Species Guam,"Sustainable Resources Group Intn'l, Inc.",≤100
114757093410967,1st Priority Medical,These ads ran without a disclaimer,≤100
590772954430493,Guam Citizens for Public Accountability,Guam Citizens for Public Accountability,≤100
347654226156252,Restudeyle-C,These ads ran without a disclaimer,≤100
1990880717882519,The China Current,These ads ran without a disclaimer,≤100
119283008140727,Pela Case,These ads ran without a disclaimer,≤100
104622121026372,Earthbreeze,These ads ran without a disclaimer,≤100
101735874792938,Guam Growler,These ads ran without a disclaimer,≤100
24496278123,Unilever,These ads ran without a disclaimer,≤100
386976188592544,Iris.warm,These ads ran without a disclaimer,≤100
107345144221720,Mira,These ads ran without a disclaimer,≤100
24691304989,Comedy Central UK,These ads ran without a disclaimer,≤100
527358433996753,Voodoo,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
113932703397653,Ultimate Goodsvibe,These ads ran without a disclaimer,≤100
265121981068221,Civic 365,Muneer None Uddin,111
111371487129223,Breaking Story,These ads ran without a disclaimer,≤100
106347817561634,Vince Borja for Senator,Vincent Anthony Velasco Borja,≤100
1691667177798461,Brut,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,169
1932800546960871,Tabletop Games Crowdfunding Videos,These ads ran without a disclaimer,≤100
165578776831764,Twice The Speed,These ads ran without a disclaimer,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
108602900749242,Guam Fair Housing Study,These ads ran without a disclaimer,≤100
119541038076789,United States University,These ads ran without a disclaimer,≤100
1745418332339003,Aspire Gear,These ads ran without a disclaimer,≤100
1210309259055520,Package Free,These ads ran without a disclaimer,≤100
1619846278287279,Guam for Bernie,Julian  C Janssen,≤100
106230730951842,Fy abbey-shop,These ads ran without a disclaimer,≤100
147247385296588,Senator Telo T. Taitague,Telo T Taitague,≤100
761870613900500,CCTV 中文,These ads ran without a disclaimer,≤100
405687222878839,Marshallese Educational Initiative,These ads ran without a disclaimer,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
308817409741999,Governor Lou Leon Guerrero,Office of the Governor of Guam,127
106658274208314,Inrainqho,These ads ran without a disclaimer,≤100
38248226878,Indiana State University,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100
629062130882339,Congressman Michael F.Q. San Nicolas - Guam,United States House of Representatives,113
124955570892789,Bernie Sanders,BERNIE 2020,≤100
75564782046,Vyond,These ads ran without a disclaimer,≤100
1461863774118436,Bureau of Statistics & Plans,Bureau of Statistics & Plans,184
294851441371101,Goosehead Insurance - Steve Wills,These ads ran without a disclaimer,≤100
39989884514,Queen's University Belfast,These ads ran without a disclaimer,≤100
1073096636084653,Robyn Jackson,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
303943826419440,Senator Wil Castro,4 Wil Drive,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
107213620807225,Black Night,These ads ran without a disclaimer,≤100
466505160192708,Initium Media 端傳媒,These ads ran without a disclaimer,≤100
2207991836092014,Sabinetek Audio,These ads ran without a disclaimer,≤100
171540600327698,Senator Amanda L. Shelton,Amanda L. Shelton,≤100
101396494839537,The World's Information,These ads ran without a disclaimer,≤100
1426949024217365,The New Arab,These ads ran without a disclaimer,≤100
141786816970,Cruise Lines International Association - CLIA,These ads ran without a disclaimer,≤100
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100
87564186290,Antics,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,129
109606223941032,Senator Sabina Flores Perez,Jaceth M Duenas,≤100
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,≤100
122766527832439,Waterlust,These ads ran without a disclaimer,≤100
194698570616499,Marine Dynamics,These ads ran without a disclaimer,≤100
106838414264473,adventuresofarchieandveronica,These ads ran without a disclaimer,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
468906559794011,LaunchGood,These ads ran without a disclaimer,≤100
101377564806423,T-Shirt Hype,Michael Kim Martinez,≤100
