Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
114757093410967,1st Priority Medical,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,≤100
1691667177798461,Brut,These ads ran without a disclaimer,≤100
122766527832439,Waterlust,These ads ran without a disclaimer,≤100
761870613900500,CCTV 中文,These ads ran without a disclaimer,≤100
29883711738,Independent Women's Voice,Independent Women's Voice,≤100
24496278123,Unilever,These ads ran without a disclaimer,≤100
104706674309306,Iron Mike Boxing Association,These ads ran without a disclaimer,≤100
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100
337198476937606,OnnCor,These ads ran without a disclaimer,≤100
107213620807225,Black Night,These ads ran without a disclaimer,≤100
194698570616499,Marine Dynamics,These ads ran without a disclaimer,≤100
1990880717882519,The China Current,These ads ran without a disclaimer,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
1073096636084653,Robyn Jackson,These ads ran without a disclaimer,≤100
1426949024217365,The New Arab,These ads ran without a disclaimer,≤100
87564186290,Antics,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
1745418332339003,Aspire Gear,These ads ran without a disclaimer,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,≤100
347654226156252,Restudeyle-C,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
70242384902,The WorldPost,These ads ran without a disclaimer,≤100
39989884514,Queen's University Belfast,These ads ran without a disclaimer,≤100
24691304989,Comedy Central UK,These ads ran without a disclaimer,≤100
527358433996753,Voodoo,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,≤100
75564782046,Vyond,These ads ran without a disclaimer,≤100
106946107609572,Minimum Opacity,These ads ran without a disclaimer,≤100
2207991836092014,Sabinetek Audio,These ads ran without a disclaimer,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
107345144221720,Mira,These ads ran without a disclaimer,≤100
386976188592544,Iris.warm,These ads ran without a disclaimer,≤100
130369030334301,KidsRights,These ads ran without a disclaimer,≤100
