Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
133666160060982,Senate Majority PAC,SMP,≤100
101675144792542,Earth & Clover,David Kenneth Freitag,≤100
112910896761648,Tanya Ortiz Franklin for LAUSD Board District 7,"Tanya Ortiz Franklin for School Board 2020, Additional information is available at LA City Ethics",≤100
110776702403268,Right to Life Northeast Indiana,Allen Country Right to Life,≤100
320533948089022,Angie Chen Button for Texas,Angie Chen Button,≤100
1899110980328809,Betsy Rader for Ohio,Friends of Betsy Rader,≤100
366557424156576,Lifelinz 4ever,James Cecil Wear,≤100
112611746799030,0-out,These ads ran without a disclaimer,≤100
203330919857759,All On The Line,National Redistricting Action Fund,≤100
171873052826443,OPET,These ads ran without a disclaimer,≤100
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",6961
6396394069,Ron Kind,KIND FOR CONGRESS COMMITTEE,≤100
654438468222089,Youth Activism Project,YOUTH ACTIVISM PROJECT INC,≤100
189821437873908,Butler County Treasurer Nancy Nix,Nancy E Nix,≤100
2323471027903589,Bridging Minds,Bridging Minds,≤100
1187681427913179,100 Years of Deception,Alan Adaschik,≤100
1613516851999536,Sunrise Movement,Sunrise,≤100
53467825060,Institute of American Indian Arts (IAIA),These ads ran without a disclaimer,≤100
488460945012999,President Trump 2020,Trump Collections,≤100
166732173519455,Suzette Martinez Valladares,Suzette Valladares for Assembly 2020,≤100
657708380952174,Voices of the Civil Rights Movement,Comcast,121
785996468249945,Bite Toothpaste Bits,These ads ran without a disclaimer,≤100
104660891073461,Merch 2020,Iminder P Singh,≤100
1750471095167410,Trump Train News,Trump Train News,487
1709657975990391,Colorado Times Recorder,Colorado Times Recorder,≤100
1480061175614032,Kern Citizens for Energy,Kern Citizens for Energy,≤100
1586922324704702,Brian Jones for Congress,BRIAN JONES FOR CONGRESS 2020,≤100
116621021691811,Essity,These ads ran without a disclaimer,≤100
102889331338691,The World Journal,Tyrone Codjoe,723
1517919588502283,Christy Smith for Congress,CHRISTY SMITH FOR CONGRESS,≤100
104883137744509,The Patriotic Apparel Company,Jack Vincent Michael Givens,≤100
100229194922241,FreedomWear1776,These ads ran without a disclaimer,≤100
115911665626912,The Term Limit Revolution,Scott M Murphy,≤100
342221473147475,MayorWell,These ads ran without a disclaimer,≤100
373371169652,The Blue Pyramid,The Blue Pyramid,≤100
1603184823296381,"Holland Law Firm, PLLC",These ads ran without a disclaimer,≤100
268311603350722,The American Independent,The American Independent,≤100
426397467437692,Willowick Titans,Michael D Stuck,137
2069576643315959,Schwartz for Supreme Court,Schwartz for Supreme Court,≤100
341715643214947,The Last House Standing,Joseph George Siegal,≤100
993668450793555,Alliance for Housing Justice,PUBLIC ADVOCATES INC,114
120033459395604,Beasame Store,These ads ran without a disclaimer,≤100
110633543714256,"Rebeca Clay-Flores for Co Commissioner, Pct 1",Rebeca "Becky" Clay-Flores Campaign,≤100
471788803642592,Excital Store,Excital Store,≤100
886485831465694,Andrew Wick,Citizens for Andrew Wick,238
312652025484896,Americans for Tax Fairness,Americans for Tax Fairness,≤100
596730444143151,Pollytics,These ads ran without a disclaimer,≤100
948471375219061,American Conservative Union Foundation - Nolan Center for Justice,American Conservative Union Foundation Center for Justice,≤100
667489846672003,Alot,These ads ran without a disclaimer,≤100
46808654791,Eric Steffensen Music,Eric Steffensen,≤100
111168406971417,Esser for Justice,Esser for Justice,≤100
237447847040302,Faith Underground,Pamela N Danziger,≤100
203583423017526,National Immigration Law Center,National Immigration Law Center,≤100
103083371246527,Ziggy MD Designs,Matthew Shane Dematteis,≤100
1947204578916961,Kionne McGhee,"Kionne McGhee, Non-Partisan, for Miami-Dade County Commissioner District 9",≤100
174866249236469,Tulsi Gabbard,TULSI NOW,115
352134661647885,Clover Lane Blog,These ads ran without a disclaimer,≤100
109958900610551,AmericanPatrioticHome,AmericanPatrioticHome,≤100
112712482782718,Magical Duck General Store,Michael G Schurmann,≤100
108868307182723,Phara for Assembly,Phara for Assembly,≤100
149223915089170,Conversations on Health Care Radio Show,Gabrielle Marie Pantalena,≤100
156995058171029,Newman for Senate,Newman for State Senate 2020,≤100
263643737472628,Earth 2.0,Earth 2.0,≤100
106762244183809,Sam for 4,Campaign to Elect Sam for 4,≤100
118178241651488,DSPolitical,"DSPolitical, LLC",≤100
947007518669446,"Jaime M. Andrade, Jr. for IL 40th District State Representative","Friends of Jaime M. Andrade, Jr.",≤100
317715676043,Conservation Voters of Pennsylvania,Conservation Voters of Pennsylvania,≤100
753260644814105,Progressive Reality Check,Jontom Christopher Keaty,≤100
345504286342057,Keeping America Great Again,RightWingGear.com,3764
107277147375038,The Penrose Papers,Richard W. Gray Jr.,≤100
42597808880,Ami Horowitz,Ami Horowitz,≤100
43695969284,Society of Critical Care Medicine (SCCM),SOCIETY OF CRITICAL CARE MEDICINE,≤100
111101350350760,Denise Pedrow For Assembly District 44,Ian Michael Stikeleather,≤100
104775027706678,Sarah Clark for Assembly,Sarah Clark for Assembly,≤100
1018889094800565,California Home Goods,These ads ran without a disclaimer,≤100
102489677957089,Rex Fee For Trumbull County Commissioner,Citizens for Rex Fee,193
293897030944463,Vote Vero,Friends of Vote Vero,265
105823740934304,J.D. for Prosecutor,Committee to Elect J.D. Tomlinson for Lorain County Prosecutor,1875
599037717094428,Lil Guillotine,Liam Robert Manjon,≤100
958164574314945,Cargill,"CARGILL, INCORPORATED",≤100
293225127381200,Patriot Depot,The Patriot Depot,2409
723136714746586,The Common Ground Project,"The Common Ground Project, Inc.",≤100
1438619973099234,Moore for WV State Treasurer,Moore for West Virginia,≤100
297858843621413,Lawyers With Purpose,These ads ran without a disclaimer,≤100
366734024540,MENTOR,These ads ran without a disclaimer,≤100
8524198486,Physicians Committee for Responsible Medicine,"PHYSICIANS COMMITTEE FOR RESPONSIBLE MEDICINE, INC.",266
102875587947942,Keep Trump In Office,Keep Trump In Office,≤100
114565503301206,Jerry&Jerry,These ads ran without a disclaimer,≤100
103986457843247,Okay To Say No,Sensible Solutions for New Phila,1110
181421054126,TheBody.com,These ads ran without a disclaimer,≤100
104622121026372,Earthbreeze,These ads ran without a disclaimer,264
195620754724,Helping Hand USA,These ads ran without a disclaimer,≤100
735392426643177,NeptuneCafe,NeptuneCafe,≤100
