Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
355917718072955,Defend Puerto Rico,These ads ran without a disclaimer,≤100
526531767367785,Sindicato Puertorriqueño de Trabajadores y Trabajadoras,Jose Javier Rodriguez Flores,121
2171656702899941,Carlos Delgado Irizarry - Alcalde 2020,Carlos Delgado Irizarry,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
159794654035799,Sasol Solar Challenge,These ads ran without a disclaimer,≤100
890170027796009,Sálvate Boricua,These ads ran without a disclaimer,≤100
110384547103318,Seeustore Store,These ads ran without a disclaimer,≤100
24496278123,Unilever,These ads ran without a disclaimer,≤100
324785111015146,The Reformed Constitutionalist,Michael John Cuellar,≤100
1932800546960871,Tabletop Games Crowdfunding Videos,These ads ran without a disclaimer,≤100
61186232920,Wapa TV,These ads ran without a disclaimer,278
106299687637769,Mente Abierta PR,Juan Rafael Serrano Torres,≤100
205621160218305,Dr. Luis M. Irizarry Pabón 2020,Dr. Luis M. Irizarry Pabón 2020,395
165578776831764,Twice The Speed,These ads ran without a disclaimer,≤100
102390744580008,La Premisa Inarticulada,These ads ran without a disclaimer,≤100
213156909037566,José Luis Rivera Guerra,These ads ran without a disclaimer,≤100
106952110779767,Zayira Jordán Conde,These ads ran without a disclaimer,≤100
203709216982986,Pesos y Contrapesos,Pesos y Contrapesos,344
135006496544064,Discover Puerto Rico,These ads ran without a disclaimer,≤100
1055008051214942,Héctor Martínez Rosado,Hector Homi Martinez,≤100
538713833208581,Charlie Delgado Altieri,Comité Amigos Carlos Delgado Altieri,250
122766527832439,Waterlust,These ads ran without a disclaimer,≤100
589476101534866,American Progressives,Alan Mislove,203
1418111495154156,"Jaime Alverio Ramos, Alcalde 2020",Jaime Alverio Ramos,128
324907127545230,POLITANK*,"Politank, Corp",≤100
107877994189428,Coronavirus 2019 En Español,These ads ran without a disclaimer,≤100
100799001427811,Ladera Del Mar,These ads ran without a disclaimer,≤100
583241748545929,Adonys,These ads ran without a disclaimer,≤100
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100
347654226156252,Restudeyle-C,These ads ran without a disclaimer,≤100
