Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
357750373755,National Domestic Workers Alliance,National Domestic Workers Alliance,≤100
2038384559798492,Audrey For Judge,Friends of Audrey Victoria Cosgrove,≤100
472811836234923,Fred Akshar,Fred Akshar For Our Future,≤100
912954278819276,James Wood for Oconomowoc School Board,James P Wood,≤100
1001615463272722,Biosimilars Council,The Biosimilars Council,≤100
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,≤100
103761441049549,Alex Yudelson,Friends of Alex Yudelson,≤100
756979391127754,NYU Teacher Residency Program,These ads ran without a disclaimer,≤100
2452905398272083,Froy Jimenez for Illinois Senate - 1st District,Froy Jimenez for Senate,≤100
32975139631,If Americans Knew,If Americans Knew,≤100
333649908729,Chatham Dems,Linda R Ziskind,≤100
9364828262,Citizens Against Government Waste,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,≤100
1646680868683515,Better Roads For Olney,Bryce P Fehrenbacher,≤100
110813887040995,John D. Carter,John Derrek Carter,≤100
106294260864581,Clean Energy Transition Project,Clean Energy Transition Project,≤100
24470472733,The Trevor Project,The Trevor Project,≤100
7235567441,Tundra Books,These ads ran without a disclaimer,≤100
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",≤100
254805757891768,Naples Zoo at Caribbean Gardens,Naples Zoo,≤100
348948148522246,MHB - Men Having Babies,"MEN HAVING BABIES, INC.",≤100
750121728449001,Rebuild SoCal,Rebuild SoCal,≤100
325327944615052,11th District Councilmember Jennifer Reynolds,11th District Councilmember Jennifer Reynolds,≤100
80668957414,GoSili,SiliKids Inc.,≤100
105793837533545,Virginia Works,American Culture,≤100
754292894630067,GA Tax & Accounting Services,These ads ran without a disclaimer,≤100
538477226541042,First Primary Care,First Primary Care,≤100
298920260604,American Heart Association - Nebraska,American Heart Association,≤100
111585603642437,Angelito Tenorio for West Allis,Tenorio for West Allis,≤100
102039711269282,Jerry For Mayor,Friends of NewTown Party,≤100
1998005350416562,The Northeast Maglev,The Northeast Maglev,≤100
8145161702,Lambda Legal,"LAMBDA LEGAL DEFENSE & EDUCATION FUND, INC.",≤100
688952738225205,Your Plan. Your Advocate.,California Association of Health Plans,≤100
774883572691528,LLDM Justice,These ads ran without a disclaimer,≤100
170309409666124,Bellefontaine Cemetery and Arboretum,Linda Christine Gaal,≤100
101372334677493,Dancer Rights,Kristensen LLP,≤100
1191336950894416,City of Carlsbad NM Government,Social Media Manager,≤100
9890558205,New Era Colorado,New Era Colorado Foundation,≤100
405346683155169,Minnesota House DFL Campaign,DFL House Caucus,≤100
401547409864705,San Antonio Charter Moms,SAN ANTONIO CHARTER MOMS,≤100
1752211025000504,Wynona's House Child Advocacy Center,Senator Wynona Lipman Child Advocacy Center,≤100
160191644025128,Walton Family Foundation,WALTON FAMILY FOUNDATION INC,≤100
108777231824,Manhattan Institute for Policy Research,MANHATTAN INSTITUTE FOR POLICY RESEARCH INC,≤100
2294830990636604,Streets For All,Streets For All,≤100
158791100909689,Concerned Veterans for America,Concerned Veterans for America,≤100
170582513587720,Liberty Through Wealth,The Oxford Club,≤100
108597757264621,WOR HQ - Residential Green Energy,WOR HQ,≤100
102929747901911,Elect Lucila Flores for Judge of the 383rd District Court,Lucila Lorena Flores,≤100
87199812705,Advocates for Youth,ADVOCATES FOR YOUTH INC,≤100
116829365010689,Broward County Cultural Division,Broward County Cultural Division,≤100
132753914062,"Planned Parenthood of South, East and North Florida","Planned Parenthood of South, East and North Florida",≤100
355185097868461,Kathryn Starkey for Pasco County Commissioner,"Kathyrn Starkey, Republican, for Pasco County Commission, District 3",≤100
167686259995685,Shen Yun,These ads ran without a disclaimer,≤100
316498251698370,Adam Gray for Assembly,Gray for Assembly 2020,≤100
184790518234668,Roxbury Township Public Library,These ads ran without a disclaimer,≤100
113768726839528,Joseph Kishore,Bryan Joseph Scherrer,≤100
107870514095323,For a Better Ventura County,For a Better Ventura County,≤100
25121889784,Texas Public Policy Foundation,Texas Public Policy Foundation,≤100
102054351411803,Texans United Against Corruption,These ads ran without a disclaimer,≤100
207182546557721,Anjana Samadder,These ads ran without a disclaimer,≤100
16266289036,International Campaign for Tibet,These ads ran without a disclaimer,≤100
2602473023098666,Democratic Polling Center,Democratic Governors Association,≤100
384676381708957,Education NC,Education NC,≤100
103610104468794,Octavio Dominguez for Judge,Campaign for Octavio Dominguez,≤100
110312563826283,SadEarth,SADEARTHBRAND,≤100
115848097551,Institute for Women's Policy Research,Institute for Women's Policy Research,≤100
28144169620,Alliance for Aging Research,Alliance for Aging Research,≤100
888123531223968,EdChoice Kentucky,EdChoice Kentucky,≤100
322771814739545,Everyone In LA,"UNITED WAY, INC.",≤100
1555589474666782,Devon J. Mathis For Assembly,Devon Mathis for Assembly 2020,≤100
159274144426567,MAS Quran Institute,MAS CHICAGO NFP,≤100
236142560669642,Mark Alcarez for Douglas County Coroner,Mark Alcarez for Douglas County Coroner,≤100
104242142960296,Marc Lopez Law,Marcelino Gustov Lopez,≤100
229358837936619,"Janet Yang Rohr - For IL State Representative, 41st District",Friends of Janet Yang Rohr,≤100
101297867923420,Jeff Foster for Superior Court Judge,Jeff Foster for Superior Court Judge,≤100
105023768642,U.S. Chamber Institute for Legal Reform,US Chamber Institute for Legal Reform,≤100
1165122570296957,Phoenix Zones Initiative,These ads ran without a disclaimer,≤100
114274493350512,Georgia Alliance for Community Hospitals,Georgia Alliance for Community Hospitals,≤100
1417599265225727,Southwestern Medical Foundation,Collin M Quick,≤100
210820618956311,Community Change Action,Center for Community Change Action,≤100
109255783924810,Carlin for Judge - Court of Appeals,Hugh A Carlin,≤100
1073830786000906,Cody Vasut for State Representative,Cody Vasut,≤100
107769029247935,Magee-Womens Research Institute & Foundation,Magee-Womens Research Institute & Foundation,≤100
8127889355,Americans for Tax Reform,Americans for Tax Reform,≤100
111111360297173,Meg Loughran Cappel For IL State Senate 49th,Committee to Elect Meg Loughran Cappel,≤100
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,≤100
226606004500820,Wesley Blankenship for WV State Senate,Wesley Garrett Blankership,≤100
102257621221526,Darrell Hull for Parker County Sheriff,Darrell Wade Jr Hull,≤100
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,≤100
7474340746,Human Rights First,HUMAN RIGHTS FIRST,≤100
1225805744242299,Chad Bordelon for Mandeville Mayor 2020,Chad B Bordelon,≤100
153171891404218,Common Sense Policy Roundtable Forum,Common Sense Policy Roundtable Forum,≤100
83290028957,Care Net,CARE NET,≤100
104741474400535,Katherine Hurst for DSCC District 43A Representative,Katherine L Hurst,≤100
136769859682655,Derek Schmidt,"Schmidt for Attorney General, Inc.",≤100
822386221184282,Jeremy Karlin for Knox County State's Attorney,Friends of Jeremy Karlin,≤100
478486236022342,Fanita Ranch,Fanita Ranch,≤100
1379912528970300,Assemblyman James Gallagher,Gallagher for Assembly,≤100
101860364658541,Michael Johnson for Senate,Michael Johnson for Senate,≤100
105132824441437,Dan at Seymour Chamber,These ads ran without a disclaimer,≤100
10760692978,World Hope International,World Hope International,≤100
108879057120462,Susan Collins for City Council 2020,Collins for City Council 2020,≤100
186932688457686,CHNGE,CHNGE,≤100
372847379421329,"NeSmith Immigration Attorneys, LLC","NeSmith Immigration, LLC",≤100
394317154459785,Jeff Moore For NC House,Jeff Moore For NC House,≤100
140535092684277,Long Island Green Homes,Sustainability Institute at Molloy College,≤100
171803459564318,Janet's Floral Design & A New Song WildBird and Garden Center,These ads ran without a disclaimer,≤100
115312693343704,Noschoolbonds.com,Fullerton Taxpayers for Reform,≤100
1629925673968109,Refuse Fascism,Refuse Fascism,≤100
173783582668940,Lyda Ness-Garcia - Advocate,Campaign to Elect Lyda Ness Garcia,≤100
84280132559,American Legislative Exchange Council,AMERICAN LEGISLATIVE EXCHANGE COUNCIL,≤100
310925405807,Citizens Climate Lobby,Citizens' Climate Lobby,≤100
140384046004597,Water Mission,Water Mission,≤100
2419497711615063,PDX VEG,Catherine Hester Berlot,≤100
469905999826004,Concealed Az,Concealed Az,≤100
106574022825492,Idaho Second Amendment Alliance,Idaho Second Amendment Alliance,≤100
115280186553725,Friends of Joe Duplechin,Friends of Joe Duplechin,≤100
17274984050,Consumer Reports Advocacy,Consumer Reports Inc,≤100
1590965647784736,CWA District 1,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",≤100
77459136187,Gavin Rollins,GAVIN ROLLINS FOR CONGRESS,≤100
1555020631394957,American Jewish University - AJU,American Jewish University,≤100
1349171708448303,Bags For Good,Beverley Yehuda,≤100
107138134194460,Go Bend 2020,Gavin Claxton Mahaley,≤100
160082424028807,American Heart Association - Ft. Lauderdale/Miami,"American Heart Association, Inc.",≤100
104127571175233,Judge Jay McCallum,Judge Jay McCallum Campaign Committee,≤100
391523854240149,Tim Knopp,Tim Knopp for State Senate,≤100
1661332784149884,"Willie Ng, MPA",Willie 4 Sheriff,≤100
580817989082746,UnRestrict Minnesota,UnRestrict MN,≤100
522729871086848,doNYC,These ads ran without a disclaimer,≤100
134571176638205,One Tree Planted,One Tree Planted,≤100
184272833618,City of Las Vegas Government,City of Las Vegas,≤100
112322706858707,Veles Co.,These ads ran without a disclaimer,≤100
79125112926,Students for Life of America,These ads ran without a disclaimer,≤100
551328948361758,For Our Future WI,For Our Future Action Fund,≤100
107142210865623,Elect Vincent Cuevas for State Representative 92nd District,the Committee to Elect Vincent Cuevas,≤100
328783261284553,Marsy's Law for Tennessee,Marsy's Law for Tennessee,≤100
502188880524161,"Commissioner Ty Penserga, City of Boynton Beach, District 4","Ty Penserga for Boynton Beach Commission, District 4",≤100
108118582602630,Home Again St. Johns,Home Again St. Johns,≤100
105105017698613,Friends for Judge Marubio,Dontien S Ingram Moore,≤100
111697590178271,Andy Hires for State Representative 109th District,Friends of Andy of Hires,≤100
147670899078,Boys & Girls Clubs of Chicago,These ads ran without a disclaimer,≤100
109635080576212,Friends of the Riverfront,Friends of the Riverfront,≤100
110261003863999,Grow Smart LI,The Good Growth Alliance,≤100
107863804082751,Pam Haynam for Recorder,Pamela Haynam Haynam,≤100
106211660885207,Cabrillo - Yes on R,Friends of Cabrillo College 2020 – YES on R,≤100
152264148166020,Moms Clean Air Force,Moms Clean Air Force,≤100
41769369717,United Way of Tucson and Southern Arizona,"UNITED WAY OF TUCSON AND SOUTHERN ARIZONA, INC.",≤100
339008335523,Hammerle Finley Law Firm,These ads ran without a disclaimer,≤100
1848736018679978,Fight For 46 Political News and Tees,Tobin Laurence Jones,≤100
330617944306531,Jerica Richardson,Jerica Marie Richardson,≤100
417542331752173,Message,Timothy Bruce Dannunzio,≤100
111104088916258,Office of Hawaiian Affairs,Office of Hawaiian Affairs,≤100
200337413510901,Village of Matteson Trustee Adam Shorter III,Adam Shorter Iii,≤100
100633308217473,Justice For Sara,Justice For Sara,≤100
