Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
333199340043595,Alma Francis Heyliger,Alma Alicia Francis,≤100
324785111015146,The Reformed Constitutionalist,Michael John Cuellar,≤100
386976188592544,Iris.warm,These ads ran without a disclaimer,≤100
194698570616499,Marine Dynamics,These ads ran without a disclaimer,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
2030859403853303,Mutiny Island Vodka,These ads ran without a disclaimer,≤100
100136141647727,Imporics,These ads ran without a disclaimer,≤100
202626512363,U.S. Census Bureau,U.S. Census Bureau,≤100
38248226878,Indiana State University,These ads ran without a disclaimer,≤100
1932800546960871,Tabletop Games Crowdfunding Videos,These ads ran without a disclaimer,≤100
113932703397653,Ultimate Goodsvibe,These ads ran without a disclaimer,≤100
104231691204802,PollMask,These ads ran without a disclaimer,≤100
107213620807225,Black Night,These ads ran without a disclaimer,≤100
2207991836092014,Sabinetek Audio,These ads ran without a disclaimer,≤100
106658274208314,Inrainqho,These ads ran without a disclaimer,≤100
106742670721061,SEAT Caribbean,These ads ran without a disclaimer,≤100
202626512363,U.S. Census Bureau,These ads ran without a disclaimer,≤100
104622121026372,Earthbreeze,These ads ran without a disclaimer,≤100
102489198064430,Random Objects Weekly,These ads ran without a disclaimer,≤100
1210309259055520,Package Free,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,≤100
1745418332339003,Aspire Gear,These ads ran without a disclaimer,≤100
347654226156252,Restudeyle-C,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
761870613900500,CCTV 中文,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
1073096636084653,Robyn Jackson,These ads ran without a disclaimer,≤100
518681608614395,"Maho Crossroads, USVI",These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100
124955570892789,Bernie Sanders,BERNIE 2020,≤100
92572781406,"Gavi, the Vaccine Alliance",These ads ran without a disclaimer,≤100
102625684720551,Cyclemaskx,These ads ran without a disclaimer,≤100
110264647265610,Purelfys,These ads ran without a disclaimer,≤100
527358433996753,Voodoo,These ads ran without a disclaimer,≤100
356564478349574,Caribbean Business Report,These ads ran without a disclaimer,≤100
106230730951842,Fy abbey-shop,These ads ran without a disclaimer,≤100
365174366842918,ProSolar Caribbean,Prosolar Caribbean,240
298827966811602,Trump Recession,Maurice Lane Ponsart,≤100
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100
715293158891487,𝐎𝐧𝐜𝐞 𝐔𝐩𝐨𝐧 𝐀 𝐓𝐢𝐦𝐞.,These ads ran without a disclaimer,≤100
24691304989,Comedy Central UK,These ads ran without a disclaimer,≤100
100449411476750,Earth Stance,These ads ran without a disclaimer,≤100
122766527832439,Waterlust,These ads ran without a disclaimer,≤100
118000384900593,Art brands,These ads ran without a disclaimer,≤100
102704854680406,Black Fitcuter,These ads ran without a disclaimer,≤100
100443981538019,JDB Consulting,Julian Donald Bishop,≤100
107345144221720,Mira,These ads ran without a disclaimer,≤100
183675225003458,Fight Colorectal Cancer,These ads ran without a disclaimer,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
