Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
268868046463126,Beacon Center of Tennessee,BEACON CENTER OF TENNESSEE,≤100
97736029457,Saint Paul Public Library,Saint Paul Public Library,≤100
192015461630968,Supporting Our Brave Veterans,James Brian Plouf,216
122773549121265,President Trump for Nobel Peace Prize 2020,Tarek None Kteleh,≤100
22772811939,Goodwill of Greater Washington,These ads ran without a disclaimer,≤100
285896596755,Fight the New Drug,These ads ran without a disclaimer,≤100
107022977597495,Step Down Scott Morrison,These ads ran without a disclaimer,≤100
103296051151726,Ken Corry for Brown County Board Supervisor - District 6,Kenneth Raymond Corry,≤100
120010311412566,Prescott College,These ads ran without a disclaimer,≤100
35400772264,The ButtKicker,These ads ran without a disclaimer,≤100
269779809772303,EBJInCongress,EDDIE BERNICE JOHNSON FOR CONGRESS,≤100
399366360669553,Jamaal Bowman for Congress,Bowman For Congress,≤100
123041607822419,Learn Russian in the European Union,These ads ran without a disclaimer,≤100
100369351457884,Black People Don't Do Art,These ads ran without a disclaimer,≤100
101162851267986,US Programs And Benefits,US Programs And Benefits,≤100
70242384902,The WorldPost,The WorldPost,≤100
2110554565703964,Eric Morrison for State Representative,Friends of Eric Morrison,≤100
101401179944527,Mona Foundation,MONA FOUNDATION,≤100
176398092558933,Joe Baldacci,Joseph M. Baldacci,≤100
332905134021585,Joe Harding for State Representative,Joe Harding for State Representative,≤100
391336611038536,Necessary Anywhere,These ads ran without a disclaimer,≤100
396444011105310,小鳥醫生 Dr. Uccello,These ads ran without a disclaimer,≤100
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,408
16644371671,Illinois Coalition for Immigrant and Refugee Rights,ILLINOIS COALITION FOR IMMIGRANT AND REFUGEE RIGHTS,≤100
111884260394948,Holliday for Shawnee Supervisor,Holliday for Supervisor,≤100
362816767560044,McKinsey on Government,These ads ran without a disclaimer,≤100
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,930
116103198461511,North Shore Animal League America,"NORTH SHORE ANIMAL LEAGUE AMERICA, INC.",≤100
2255535767896743,Mark Robinson for N.C.,Mark Robinson for NC,≤100
310003665764536,Representative Steve Eliason,Steven Allen Eliason,≤100
50576707351,Republican State Leadership Committee,Republican State Leadership Committee,2425
312502872211924,Culture Flock,Culture Flock,≤100
100979658210534,टीम मनोज चौधरी लोक सभा मथुरा,These ads ran without a disclaimer,≤100
346487908720235,Gordon Hintz,Office of State Representative Gordon Hintz,≤100
22984054572,Numi Organic Tea,Numi Organic Tea,≤100
722948231456190,Right to a Free and Authentic Election,These ads ran without a disclaimer,≤100
103694317846862,Making Congress Great Again,Making Congress Great Again,≤100
102283527802562,Daniel Brock for Circuit Judge,Daniel Brock for Circuit Judge Campaign,≤100
100470114725701,WI4Patients,Kelcey Elizabeth Batzer,1911
104231691204802,PollMask,These ads ran without a disclaimer,≤100
100196921562188,Everyday Benefits,These ads ran without a disclaimer,≤100
105623264255576,Ben Grant for State Representative,Committee to Elect Ben Grant,≤100
126694924050678,Xavier Becerra,Becerra for Attorney General 2022,293
101484004668711,The Week Junior US,These ads ran without a disclaimer,≤100
101336841260036,The Christie Institute for Public Policy,The Christie Institute for Public Policy Inc.,≤100
