abbr,state,pop_est_2014,region
AL,Alabama,4849377,South
AK,Alaska,736732,West
AZ,Arizona,6731484,West
AR,Arkansas,2966369,South
CA,California,38802500,West
CO,Colorado,5355866,West
CT,Connecticut,3596677,Northeast
DE,Delaware,935614,Northeast
DC,District of Columbia,658893,Northeast
FL,Florida,19893297,South
GA,Georgia,10097343,South
HI,Hawaii,1419561,West
ID,Idaho,1634464,West
IL,Illinois,12880580,Midwest
IN,Indiana,6596855,Midwest
IA,Iowa,3107126,Midwest
KS,Kansas,2904021,Midwest
KY,Kentucky,4413457,South
LA,Louisiana,4649676,South
ME,Maine,1330089,Northeast
MD,Maryland,5976407,Northeast
MA,Massachusetts,6745408,Northeast
MI,Michigan,9909877,Midwest
MN,Minnesota,5457173,Midwest
MS,Mississippi,2994079,South
MO,Missouri,6063589,Midwest
MT,Montana,1023579,West
NE,Nebraska,1881503,Midwest
NV,Nevada,2839099,West
NH,New Hampshire,1326813,Northeast
NJ,New Jersey,8938175,Northeast
NM,New Mexico,2085572,West
NY,New York,19746227,Northeast
NC,North Carolina,9943964,South
ND,North Dakota,739482,Midwest
OH,Ohio,11594163,Midwest
OK,Oklahoma,3878051,Midwest
OR,Oregon,3970239,West
PA,Pennsylvania,12787209,Northeast
RI,Rhode Island,1055173,Northeast
SC,South Carolina,4832482,South
SD,South Dakota,853175,Midwest
TN,Tennessee,6549352,Midwest
TX,Texas,26956958,South
UT,Utah,2942902,West
VT,Vermont,626562,Northeast
VA,Virginia,8326289,South
WA,Washington,7061530,West
WV,West Virginia,1850326,Midwest
WI,Wisconsin,5757564,Midwest
WY,Wyoming,584153,West
