state,ev.1972,ev.1976,ev.1980,ev.1984,ev.1988,ev.1992,ev.1996,ev.2000,ev.2004,ev.2008,ev.2012,ev.2016,ev.2020
Alabama,9,9,9,9,9,9,9,9,9,9,9,9,9
Alaska,3,3,3,3,3,3,3,3,3,3,3,3,3
Arizona,6,6,6,7,7,8,8,8,10,10,11,11,11
Arkansas,6,6,6,6,6,6,6,6,6,6,6,6,6
California,45,45,45,47,47,54,54,54,55,55,55,55,55
Colorado,7,7,7,8,8,8,8,8,9,9,9,9,9
Connecticut,8,8,8,8,8,8,8,8,7,7,7,7,7
Delaware,3,3,3,3,3,3,3,3,3,3,3,3,3
District of Columbia,3,3,3,3,3,3,3,3,3,3,3,3,3
Florida,17,17,17,21,21,25,25,25,27,27,29,29,29
Georgia,12,12,12,12,12,13,13,13,15,15,16,16,16
Hawaii,4,4,4,4,4,4,4,4,4,4,4,4,4
Idaho,4,4,4,4,4,4,4,4,4,4,4,4,4
Illinois,26,26,26,24,24,22,22,22,21,21,20,20,20
Indiana,13,13,13,12,12,12,12,12,11,11,11,11,11
Iowa,8,8,8,8,8,7,7,7,7,7,6,6,6
Kansas,7,7,7,7,7,6,6,6,6,6,6,6,6
Kentucky,9,9,9,9,9,8,8,8,8,8,8,8,8
Louisiana,10,10,10,10,10,9,9,9,9,9,8,8,8
Maine,4,4,4,4,4,4,4,4,4,4,4,4,4
Maryland,10,10,10,10,10,10,10,10,10,10,10,10,10
Massachusetts,14,14,14,13,13,12,12,12,12,12,11,11,11
Michigan,21,21,21,20,20,18,18,18,17,17,16,16,16
Minnesota,10,10,10,10,10,10,10,10,10,10,10,10,10
Mississippi,7,7,7,7,7,7,7,7,6,6,6,6,6
Missouri,12,12,12,11,11,11,11,11,11,11,10,10,10
Montana,4,4,4,4,4,3,3,3,3,3,3,3,3
Nebraska,5,5,5,5,5,5,5,5,5,5,5,5,5
Nevada,3,3,3,4,4,4,4,4,5,5,6,6,6
New Hampshire,4,4,4,4,4,4,4,4,4,4,4,4,4
New Jersey,17,17,17,16,16,15,15,15,15,15,14,14,14
New Mexico,4,4,4,5,5,5,5,5,5,5,5,5,5
New York,41,41,41,36,36,33,33,33,31,31,29,29,29
North Carolina,13,13,13,13,13,14,14,14,15,15,15,15,15
North Dakota,3,3,3,3,3,3,3,3,3,3,3,3,3
Ohio,25,25,25,23,23,21,21,21,20,20,18,18,18
Oklahoma,8,8,8,8,8,8,8,8,7,7,7,7,7
Oregon,6,6,6,7,7,7,7,7,7,7,7,7,7
Pennsylvania,27,27,27,25,25,23,23,23,21,21,20,20,20
Rhode Island,4,4,4,4,4,4,4,4,4,4,4,4,4
South Carolina,8,8,8,8,8,8,8,8,8,8,9,9,9
South Dakota,4,4,4,3,3,3,3,3,3,3,3,3,3
Tennessee,10,10,10,11,11,11,11,11,11,11,11,11,11
Texas,26,26,26,29,29,32,32,32,34,34,38,38,38
Utah,4,4,4,5,5,5,5,5,5,5,6,6,6
Vermont,3,3,3,3,3,3,3,3,3,3,3,3,3
Virginia,12,12,12,12,12,13,13,13,13,13,13,13,13
Washington,9,9,9,10,10,11,11,11,11,11,12,12,12
West Virginia,6,6,6,6,6,5,5,5,5,5,5,5,5
Wisconsin,11,11,11,11,11,11,11,11,10,10,10,10,10
Wyoming,3,3,3,3,3,3,3,3,3,3,3,3,3
