question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
120090,64852,2020,Florida,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/14/20,3/16/20,,"",false,,,false,false,3/16/20 22:56,,https://projects.fivethirtyeight.com/polls/20200316_FL.pdf,general,Sanders,Bernard Sanders,DEM,40.5
120090,64852,2020,Florida,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/14/20,3/16/20,,"",false,,,false,false,3/16/20 22:56,,https://projects.fivethirtyeight.com/polls/20200316_FL.pdf,general,Trump,Donald Trump,REP,48.4
120091,64852,2020,Florida,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/14/20,3/16/20,,"",false,,,false,false,3/16/20 22:57,,https://projects.fivethirtyeight.com/polls/20200316_FL.pdf,general,Biden,Joseph R. Biden Jr.,DEM,45.4
120091,64852,2020,Florida,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/14/20,3/16/20,,"",false,,,false,false,3/16/20 22:57,,https://projects.fivethirtyeight.com/polls/20200316_FL.pdf,general,Trump,Donald Trump,REP,44.9
120113,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1116,a,a,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Biden,Joseph R. Biden Jr.,DEM,41.0
120113,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1116,a,a,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Trump,Donald Trump,REP,35.0
120114,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,955,rv,rv,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Biden,Joseph R. Biden Jr.,DEM,46.0
120114,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,955,rv,rv,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Trump,Donald Trump,REP,37.0
120115,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1116,a,a,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Sanders,Bernard Sanders,DEM,42.0
120115,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1116,a,a,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Trump,Donald Trump,REP,37.0
120116,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,955,rv,rv,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Sanders,Bernard Sanders,DEM,45.0
