draw,ev,natl,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,388,0.520522,0.483611,0.395352,0.426418,0.527237,0.635439,0.545922,0.610909,0.92448,0.673487,0.522905,0.509667,0.660722,0.450804,0.342769,0.628171,0.477366,0.493711,0.456388,0.47354,0.698962,0.68333,0.590792,0.569491,0.549078,0.472799,0.442016,0.460342,0.558807,0.391515,0.468118,0.585842,0.625619,0.528707,0.557235,0.61722,0.489698,0.41940499999999997,0.582153,0.522389,0.661707,0.488105,0.473888,0.457221,0.517846,0.40009,0.574386,0.699958,0.627388,0.554492,0.347356,0.313891
2,279,0.547084,0.407233,0.421657,0.373398,0.482031,0.654907,0.591788,0.638976,0.912021,0.627274,0.451409,0.513533,0.684395,0.509175,0.385437,0.538125,0.399131,0.390587,0.375477,0.397511,0.670008,0.620563,0.520693,0.493021,0.513894,0.430365,0.398969,0.413816,0.465438,0.356992,0.422546,0.543525,0.611192,0.544441,0.483985,0.657398,0.454839,0.337688,0.590903,0.52396,0.59411,0.439073,0.367426,0.382958,0.445298,0.412535,0.522113,0.636587,0.563301,0.503499,0.347716,0.297933
3,259,0.542453,0.441578,0.407101,0.379759,0.462992,0.639884,0.593961,0.632467,0.918489,0.624498,0.448343,0.493484,0.669484,0.515754,0.329509,0.556421,0.413625,0.411466,0.406489,0.400081,0.673187,0.649315,0.525454,0.497662,0.539939,0.42315,0.397833,0.411905,0.494899,0.337615,0.400393,0.52481,0.61034,0.538139,0.506802,0.651508,0.467673,0.326768,0.596496,0.516645,0.616203,0.404925,0.375233,0.387857,0.431972,0.383869,0.518678,0.62748,0.56275,0.465296,0.335241,0.323306
4,284,0.541599,0.419898,0.449067,0.387379,0.481728,0.642076,0.534554,0.602597,0.911581,0.664477,0.47671,0.478476,0.669915,0.437236,0.413016,0.586398,0.425477,0.472955,0.398318,0.390939,0.697667,0.66712,0.548591,0.528829,0.55044,0.422678,0.410304,0.429577,0.514289,0.358646,0.433734,0.533533,0.630825,0.583768,0.510083,0.640485,0.474587,0.382122,0.590076,0.545106,0.60288,0.446231,0.441313,0.37388,0.454224,0.379751,0.51762,0.650927,0.572205,0.493994,0.333385,0.28834
5,404,0.539229,0.467866,0.399118,0.448373,0.554947,0.633449,0.599417,0.655143,0.917488,0.642247,0.51199,0.531099,0.689048,0.546488,0.371396,0.587265,0.459741,0.469877,0.438312,0.492249,0.680153,0.678116,0.584426,0.559627,0.542327,0.500179,0.447287,0.4661,0.500636,0.401571,0.464155,0.558895,0.60306,0.516321,0.545054,0.673134,0.491496,0.410568,0.610083,0.522081,0.707088,0.454871,0.441427,0.477702,0.513469,0.436121,0.604859,0.700205,0.617939,0.580284,0.373037,0.350237
6,350,0.545982,0.463788,0.415053,0.396734,0.550498,0.673267,0.587552,0.585489,0.927172,0.64936,0.527628,0.517715,0.716581,0.447303,0.415734,0.613507,0.444806,0.438193,0.418531,0.420863,0.703239,0.632013,0.57627,0.500466,0.558187,0.418519,0.45769,0.459685,0.533752,0.408129,0.441036,0.570509,0.619524,0.60261,0.501909,0.611471,0.474748,0.398427,0.584659,0.552935,0.618173,0.496518,0.451893,0.395262,0.494732,0.479002,0.515772,0.681779,0.624007,0.509643,0.375263,0.368102
7,300,0.552901,0.430967,0.418165,0.430263,0.49365,0.636898,0.567617,0.677692,0.915889,0.657232,0.484025,0.477464,0.669044,0.551503,0.371022,0.559157,0.445647,0.476891,0.400517,0.464986,0.700028,0.701088,0.564917,0.562881,0.523938,0.487101,0.397579,0.437066,0.519321,0.388984,0.441275,0.556058,0.636038,0.506086,0.564484,0.679128,0.489036,0.393017,0.63322,0.516355,0.694371,0.455439,0.412737,0.431711,0.48657,0.383832,0.605278,0.662232,0.612769,0.55391,0.335707,0.308334
8,335,0.528773,0.453819,0.422974,0.422533,0.548231,0.667939,0.599125,0.591785,0.931734,0.63396,0.540648,0.531621,0.68337,0.491587,0.406,0.603016,0.478287,0.450346,0.444078,0.443627,0.708748,0.665988,0.57498,0.521228,0.541685,0.404489,0.445696,0.436113,0.49526,0.370556,0.449228,0.540334,0.636084,0.577325,0.569246,0.613511,0.482604,0.41165,0.608784,0.543831,0.635954,0.489244,0.433839,0.428553,0.455808,0.450412,0.562968,0.67039,0.608209,0.525717,0.365056,0.371693
9,393,0.571485,0.443232,0.443782,0.419469,0.522606,0.630281,0.538034,0.687759,0.90874,0.682576,0.497571,0.510377,0.705944,0.510247,0.385399,0.590739,0.446407,0.469276,0.400953,0.485854,0.697919,0.663905,0.586796,0.546078,0.554138,0.504911,0.433008,0.435515,0.539165,0.395342,0.468242,0.556181,0.636719,0.543991,0.549373,0.669481,0.513063,0.391602,0.578298,0.538216,0.685457,0.466392,0.41769,0.419464,0.527579,0.408955,0.560056,0.67645,0.604533,0.584767,0.384333,0.340042
10,323,0.541766,0.465488,0.389497,0.368265,0.481765,0.633235,0.596158,0.5869,0.932158,0.60545,0.524912,0.521337,0.632239,0.496863,0.364247,0.588228,0.452231,0.422494,0.422388,0.436153,0.696406,0.669375,0.557037,0.496048,0.520603,0.419298,0.442588,0.442898,0.500566,0.368259,0.444753,0.549548,0.622663,0.548891,0.505616,0.634234,0.46549,0.423837,0.568597,0.528704,0.629884,0.471819,0.414923,0.402144,0.42779,0.427943,0.548173,0.645544,0.591404,0.521086,0.327724,0.337207
