date,ev_exp,ev_min,ev_q05,ev_q25,ev_q75,ev_q95,ev_max,natl_exp,natl_q05,natl_q25,natl_q75,natl_q95,prob,prob_pop,prob_tie,prob_pop_ev_DR,prob_pop_ev_RD
2020-03-26,228,7,137,187.75,284,367,472,0.492,0.4532,0.4766,0.5077,0.532,0.299,0.3713,0.0057,0.1727,0.103
2020-03-28,225,24,140.95,186,275.25,366,462,0.495,0.4541,0.4785,0.5117,0.5347,0.2727,0.4167,0.0043,0.2097,0.0683
2020-03-30,221,45,143,186,269,358.05,465,0.4928,0.4543,0.4772,0.5088,0.5328,0.2453,0.3747,0.0057,0.177,0.0523
2020-04-01,234,75,155,196,286,367,462,0.4965,0.4542,0.4788,0.5131,0.5356,0.3197,0.449,0.0037,0.1877,0.061
2020-04-03,234.5,98,160,199,284.25,362,463,0.5009,0.4618,0.4846,0.5168,0.5385,0.3143,0.5137,0.0047,0.2407,0.0447
2020-04-04,239,31,161,200,288,359.05,467,0.5027,0.4634,0.4863,0.5177,0.5389,0.328,0.5407,0.0043,0.246,0.036
2020-04-05,239,90,163,200,287,367,473,0.5021,0.4633,0.4866,0.5178,0.5407,0.33,0.54,0.0053,0.248,0.042
2020-04-06,242,90,162,202,296,374,463,0.5014,0.4616,0.4858,0.5173,0.5397,0.3637,0.524,0.0057,0.204,0.0477
2020-04-07,246,93,165,206,296,368.05,460,0.5026,0.4655,0.4866,0.5177,0.539,0.3737,0.5367,0.005,0.207,0.0467
2020-04-09,246,83,166,205,298,374,472,0.5017,0.4632,0.4853,0.5171,0.5386,0.3793,0.533,0.0057,0.2053,0.0553
